0,52
1,51
2,47
3,51
4,38
5,53
6,46
7,45
8,41
9,56
10,53
11,36
12,51
13,52
14,43
15,46
16,38
17,52
18,48
19,45
20,50
21,45
22,39
23,42
24,47
25,55
26,34
27,47
28,49
29,51
30,39
31,52
32,47
33,35
34,34
35,42
36,36
37,46
38,43
39,29
40,47
41,38
42,48
43,42
44,48
45,60
46,51
47,56
48,44
49,48
50,47
51,36
52,52
53,50
54,46
55,48
56,49
57,41
58,44
59,48
60,36
61,59
62,40
63,40
64,52
65,47
66,38
67,46
68,50
69,54
70,51
71,40
72,47
73,48
74,47
75,50
76,37
77,35
78,32
79,50
80,45
81,52
82,38
83,40
84,66
85,37
86,33
87,44
88,58
89,40
90,51
91,33
92,50
93,38
94,48
95,42
96,44
97,37
98,44
99,45
100,56
101,43
102,48
