0,50
1,42
2,35
3,39
4,44
5,54
6,30
7,50
8,52
9,38
10,43
11,42
12,49
13,43
14,39
15,42
16,46
17,49
18,47
19,58
20,45
21,39
22,51
23,41
24,36
25,44
26,50
27,42
28,35
29,53
30,39
31,45
32,42
33,45
34,47
35,35
36,47
37,46
38,54
39,40
40,53
41,46
42,49
43,38
44,38
45,46
46,38
47,52
48,57
49,53
50,54
51,41
52,44
53,37
54,37
55,35
56,41
57,51
58,37
59,37
60,51
61,48
62,48
63,34
64,53
65,46
66,53
67,43
68,46
69,40
70,30
71,46
72,44
73,51
74,36
75,67
76,46
77,45
78,40
79,54
80,49
81,51
82,48
83,46
84,49
85,63
86,55
87,38
88,42
89,61
90,54
91,54
92,55
93,52
94,45
95,40
96,37
97,46
98,43
99,46
100,49
101,46
102,38
